distance_km,nominal_speed_kmph,slope_deg,rainfall_mm,risk_score,elevation_m,vehicle_type,nominal_time_mins,actual_time_mins,delay_mins,delay_probability,primary_delay_cause
141.48,34.5,26.5,8.7,0.519,2450,Light Disaster Utility (4WD),246.0,405.4,159.4,0.376,Steep Mountain Grade & Hairpin Bends
147.0,33.8,4.2,28.21,0.232,95,Heavy Supply Truck (16T),261.3,328.2,66.9,0.204,Standard Mountain Traffic Flow
110.58,30.0,26.5,1.59,0.61,2450,4x4 Hill Freight Carrier,221.2,368.4,147.2,0.43,Steep Mountain Grade & Hairpin Bends
94.83,15.0,14.5,4.7,0.186,1550,Heavy Supply Truck (16T),379.3,417.6,38.3,0.137,Standard Mountain Traffic Flow
111.98,23.0,14.5,127.32,0.728,1550,Light Disaster Utility (4WD),292.1,935.3,643.2,0.7,Active Landslide Clearance / Road Blockage
207.76,45.0,22.0,39.08,0.749,1400,Refrigerated Medical Van,277.0,594.5,317.5,0.583,Steep Mountain Grade & Hairpin Bends
188.23,33.8,4.2,30.02,0.269,95,Heavy Supply Truck (16T),334.6,435.4,100.7,0.234,Standard Mountain Traffic Flow
133.8,45.0,6.0,54.11,0.546,320,Refrigerated Medical Van,178.4,322.7,144.3,0.463,Standard Mountain Traffic Flow
79.91,22.5,24.2,6.19,0.65,3200,Heavy Supply Truck (16T),213.1,376.6,163.5,0.464,Steep Mountain Grade & Hairpin Bends
122.33,34.5,26.5,0.5,0.557,2450,Light Disaster Utility (4WD),212.8,370.0,157.2,0.391,Active Landslide Clearance / Road Blockage
517.62,45.0,21.0,31.08,0.751,1650,Refrigerated Medical Van,690.2,1457.2,767.0,0.572,Steep Mountain Grade & Hairpin Bends
102.79,22.5,26.5,82.81,0.866,2450,Heavy Supply Truck (16T),274.1,725.8,451.7,0.73,Torrential Rainfall & Reduced Visibility
55.57,20.0,31.4,12.51,0.752,4170,4x4 Hill Freight Carrier,166.7,510.6,343.9,0.545,Active Landslide Clearance / Road Blockage
131.72,22.5,26.5,24.3,0.705,2450,Heavy Supply Truck (16T),351.2,841.8,490.5,0.53,Active Landslide Clearance / Road Blockage
208.4,33.8,22.0,2.93,0.59,1400,Heavy Supply Truck (16T),370.5,635.8,265.3,0.417,Active Landslide Clearance / Road Blockage
102.04,30.0,24.2,68.22,0.952,3200,Refrigerated Medical Van,204.1,790.8,586.7,0.769,Active Landslide Clearance / Road Blockage
56.53,22.5,16.0,30.82,0.515,2100,Heavy Supply Truck (16T),150.7,262.3,111.6,0.406,Standard Mountain Traffic Flow
187.27,33.8,22.0,32.67,0.823,1400,Heavy Supply Truck (16T),332.9,762.5,429.6,0.625,Steep Mountain Grade & Hairpin Bends
257.13,45.0,8.5,5.26,0.394,350,4x4 Hill Freight Carrier,342.8,498.9,156.1,0.284,Active Landslide Clearance / Road Blockage
205.75,45.0,22.0,37.36,0.823,1400,4x4 Hill Freight Carrier,274.3,726.1,451.7,0.632,Active Landslide Clearance / Road Blockage
354.58,51.7,18.0,41.17,0.733,1500,Light Disaster Utility (4WD),411.1,871.7,460.6,0.575,Standard Mountain Traffic Flow
403.31,45.0,8.5,25.2,0.401,350,4x4 Hill Freight Carrier,537.7,771.9,234.2,0.319,Standard Mountain Traffic Flow
84.83,20.0,14.5,13.75,0.191,1550,Refrigerated Medical Van,254.5,292.6,38.1,0.154,Standard Mountain Traffic Flow
318.44,51.7,22.0,14.98,0.669,1400,Light Disaster Utility (4WD),369.2,902.4,533.2,0.491,Active Landslide Clearance / Road Blockage
52.16,22.5,16.0,47.51,0.707,2100,Heavy Supply Truck (16T),139.1,432.3,293.2,0.566,Active Landslide Clearance / Road Blockage
323.15,45.0,18.0,38.45,0.678,1500,4x4 Hill Freight Carrier,430.9,956.4,525.6,0.533,Active Landslide Clearance / Road Blockage
145.43,33.8,4.2,31.11,0.238,95,Heavy Supply Truck (16T),258.5,330.0,71.5,0.213,Standard Mountain Traffic Flow
797.4,33.8,21.0,99.41,1.0,1650,Heavy Supply Truck (16T),1417.6,4601.7,3184.1,0.849,Active Landslide Clearance / Road Blockage
179.09,45.0,4.2,14.59,0.156,95,Refrigerated Medical Van,238.8,269.7,30.9,0.131,Standard Mountain Traffic Flow
49.61,45.0,12.8,24.41,0.49,240,4x4 Hill Freight Carrier,66.1,103.6,37.4,0.38,Standard Mountain Traffic Flow
312.89,45.0,22.0,35.72,0.749,1400,4x4 Hill Freight Carrier,417.2,1053.1,635.9,0.578,Active Landslide Clearance / Road Blockage
806.24,51.7,21.0,4.53,0.626,1650,Light Disaster Utility (4WD),934.8,1637.5,702.8,0.445,Active Landslide Clearance / Road Blockage
304.04,51.7,22.0,40.5,0.866,1400,Light Disaster Utility (4WD),352.5,974.5,622.0,0.667,Active Landslide Clearance / Road Blockage
54.3,51.7,12.8,49.72,0.602,240,Light Disaster Utility (4WD),63.0,119.0,56.0,0.496,Standard Mountain Traffic Flow
133.97,23.0,14.5,60.54,0.423,1550,Light Disaster Utility (4WD),349.5,574.3,224.8,0.387,Torrential Rainfall & Reduced Visibility
204.89,33.8,4.2,48.03,0.356,95,Heavy Supply Truck (16T),364.2,586.6,222.4,0.321,Active Landslide Clearance / Road Blockage
697.34,45.0,21.0,47.66,0.775,1650,Refrigerated Medical Van,929.8,2091.3,1161.5,0.614,Steep Mountain Grade & Hairpin Bends
57.4,45.0,12.8,2.96,0.4,240,4x4 Hill Freight Carrier,76.5,142.2,65.7,0.284,Active Landslide Clearance / Road Blockage
264.05,51.7,8.5,18.8,0.266,350,Light Disaster Utility (4WD),306.1,380.0,73.9,0.214,Standard Mountain Traffic Flow
116.5,34.5,26.5,0.93,0.602,2450,Light Disaster Utility (4WD),202.6,350.1,147.5,0.423,Steep Mountain Grade & Hairpin Bends
295.8,45.0,22.0,13.4,0.707,1400,4x4 Hill Freight Carrier,394.4,758.7,364.3,0.515,Steep Mountain Grade & Hairpin Bends
72.31,51.7,12.8,7.29,0.325,240,Light Disaster Utility (4WD),83.8,104.7,20.8,0.239,Standard Mountain Traffic Flow
395.53,33.8,8.5,2.68,0.293,350,Heavy Supply Truck (16T),703.2,836.0,132.9,0.209,Standard Mountain Traffic Flow
209.76,33.8,4.2,30.44,0.209,95,Heavy Supply Truck (16T),372.9,465.4,92.4,0.192,Standard Mountain Traffic Flow
70.65,45.0,12.8,111.71,0.696,240,4x4 Hill Freight Carrier,94.2,425.3,331.1,0.654,Active Landslide Clearance / Road Blockage
212.76,51.7,22.0,17.34,0.729,1400,Light Disaster Utility (4WD),246.7,551.6,304.9,0.536,Active Landslide Clearance / Road Blockage
80.14,15.0,14.5,98.62,0.6,1550,Heavy Supply Truck (16T),320.6,716.4,395.8,0.568,Active Landslide Clearance / Road Blockage
163.99,51.7,4.2,5.1,0.184,95,Light Disaster Utility (4WD),190.1,209.4,19.3,0.136,Standard Mountain Traffic Flow
60.46,23.0,31.4,23.9,0.863,4170,Light Disaster Utility (4WD),157.7,469.7,312.0,0.64,Active Landslide Clearance / Road Blockage
792.94,51.7,21.0,40.17,0.824,1650,Light Disaster Utility (4WD),919.3,2295.3,1375.9,0.637,Active Landslide Clearance / Road Blockage
76.15,20.0,31.4,16.32,0.749,4170,4x4 Hill Freight Carrier,228.4,464.2,235.8,0.549,Steep Mountain Grade & Hairpin Bends
459.02,33.8,18.0,0.43,0.458,1500,Heavy Supply Truck (16T),816.0,1137.7,321.6,0.321,Standard Mountain Traffic Flow
156.86,33.8,4.2,1.41,0.114,95,Heavy Supply Truck (16T),278.9,289.8,10.9,0.082,Standard Mountain Traffic Flow
299.63,51.7,18.0,20.3,0.695,1500,Light Disaster Utility (4WD),347.4,808.6,461.2,0.517,Active Landslide Clearance / Road Blockage
294.8,45.0,8.5,17.07,0.43,350,4x4 Hill Freight Carrier,393.1,607.8,214.7,0.327,Active Landslide Clearance / Road Blockage
266.15,33.8,8.5,14.08,0.265,350,Heavy Supply Truck (16T),473.2,575.7,102.6,0.206,Standard Mountain Traffic Flow
118.86,22.5,26.5,20.98,0.684,2450,Heavy Supply Truck (16T),317.0,683.1,366.1,0.51,Active Landslide Clearance / Road Blockage
131.66,45.0,6.0,30.85,0.389,320,4x4 Hill Freight Carrier,175.5,253.9,78.4,0.319,Standard Mountain Traffic Flow
282.4,45.0,18.0,26.44,0.631,1500,4x4 Hill Freight Carrier,376.5,689.7,313.1,0.482,Standard Mountain Traffic Flow
190.77,33.8,4.2,30.92,0.277,95,Heavy Supply Truck (16T),339.1,445.3,106.2,0.24,Standard Mountain Traffic Flow
109.84,20.0,14.5,23.66,0.267,1550,Refrigerated Medical Van,329.5,417.5,88.0,0.222,Standard Mountain Traffic Flow
91.32,20.0,31.4,70.73,1.0,4170,4x4 Hill Freight Carrier,273.9,809.1,535.2,0.806,Torrential Rainfall & Reduced Visibility
73.09,30.0,24.2,2.16,0.643,3200,4x4 Hill Freight Carrier,146.2,253.3,107.1,0.453,Steep Mountain Grade & Hairpin Bends
81.58,30.0,26.5,11.52,0.595,2450,Refrigerated Medical Van,163.2,275.1,111.9,0.434,Steep Mountain Grade & Hairpin Bends
75.14,33.8,12.8,0.71,0.323,240,Heavy Supply Truck (16T),133.6,162.1,28.5,0.227,Standard Mountain Traffic Flow
189.78,33.8,22.0,35.79,0.836,1400,Heavy Supply Truck (16T),337.4,956.2,618.8,0.639,Active Landslide Clearance / Road Blockage
59.4,30.0,16.0,39.85,0.508,2100,Refrigerated Medical Van,118.8,221.6,102.8,0.415,Standard Mountain Traffic Flow
103.38,22.5,24.2,49.33,0.861,3200,Heavy Supply Truck (16T),275.7,680.7,405.0,0.677,Steep Mountain Grade & Hairpin Bends
116.48,30.0,24.2,15.96,0.748,3200,Refrigerated Medical Van,233.0,583.9,350.9,0.547,Active Landslide Clearance / Road Blockage
464.49,45.0,8.5,58.65,0.485,350,Refrigerated Medical Van,619.3,1070.3,451.0,0.427,Standard Mountain Traffic Flow
170.55,33.8,6.0,41.69,0.366,320,Heavy Supply Truck (16T),303.2,446.0,142.8,0.319,Standard Mountain Traffic Flow
458.17,45.0,8.5,21.11,0.378,350,Refrigerated Medical Van,610.9,844.7,233.8,0.296,Standard Mountain Traffic Flow
74.44,45.0,12.8,11.57,0.384,240,4x4 Hill Freight Carrier,99.3,133.4,34.1,0.286,Standard Mountain Traffic Flow
43.61,45.0,12.8,70.74,0.676,240,4x4 Hill Freight Carrier,58.1,187.4,129.3,0.579,Active Landslide Clearance / Road Blockage
353.11,45.0,18.0,89.91,0.884,1500,4x4 Hill Freight Carrier,470.8,1286.4,815.6,0.754,Torrential Rainfall & Reduced Visibility
52.18,30.0,16.0,17.85,0.481,2100,Refrigerated Medical Van,104.4,158.4,54.1,0.364,Standard Mountain Traffic Flow
62.33,15.0,31.4,11.95,0.826,4170,Heavy Supply Truck (16T),249.3,746.1,496.8,0.596,Active Landslide Clearance / Road Blockage
132.57,20.0,14.5,2.87,0.231,1550,Refrigerated Medical Van,397.7,448.9,51.2,0.166,Standard Mountain Traffic Flow
204.0,33.8,4.2,1.78,0.05,95,Heavy Supply Truck (16T),362.7,368.5,5.9,0.05,Standard Mountain Traffic Flow
110.87,30.0,24.2,12.97,0.76,3200,4x4 Hill Freight Carrier,221.7,452.8,231.1,0.552,Steep Mountain Grade & Hairpin Bends
54.68,20.0,31.4,4.63,0.769,4170,4x4 Hill Freight Carrier,164.0,331.5,167.5,0.545,Steep Mountain Grade & Hairpin Bends
278.65,51.7,8.5,2.64,0.358,350,Light Disaster Utility (4WD),323.1,408.9,85.8,0.255,Standard Mountain Traffic Flow
69.7,33.8,12.8,2.27,0.387,240,Heavy Supply Truck (16T),123.9,161.2,37.3,0.274,Standard Mountain Traffic Flow
462.75,45.0,21.0,2.66,0.654,1650,4x4 Hill Freight Carrier,617.0,1322.6,705.6,0.462,Active Landslide Clearance / Road Blockage
82.84,30.0,24.2,13.89,0.64,3200,4x4 Hill Freight Carrier,165.7,295.8,130.1,0.469,Steep Mountain Grade & Hairpin Bends
239.23,45.0,4.2,24.52,0.207,95,Refrigerated Medical Van,319.0,388.2,69.2,0.182,Standard Mountain Traffic Flow
85.56,22.5,24.2,71.05,0.903,3200,Heavy Supply Truck (16T),228.2,613.2,385.0,0.739,Torrential Rainfall & Reduced Visibility
33.93,30.0,16.0,18.97,0.406,2100,4x4 Hill Freight Carrier,67.9,95.7,27.8,0.312,Standard Mountain Traffic Flow
65.47,34.5,24.2,3.79,0.651,3200,Light Disaster Utility (4WD),113.9,200.2,86.4,0.462,Steep Mountain Grade & Hairpin Bends
714.0,45.0,21.0,26.27,0.664,1650,4x4 Hill Freight Carrier,952.0,1805.3,853.3,0.504,Steep Mountain Grade & Hairpin Bends
61.89,30.0,16.0,14.09,0.471,2100,4x4 Hill Freight Carrier,123.8,183.5,59.8,0.351,Standard Mountain Traffic Flow
91.83,34.5,26.5,99.09,0.956,2450,Light Disaster Utility (4WD),159.7,521.9,362.2,0.818,Active Landslide Clearance / Road Blockage
798.61,45.0,21.0,1.32,0.609,1650,Refrigerated Medical Van,1064.8,1769.2,704.3,0.428,Steep Mountain Grade & Hairpin Bends
146.52,20.0,14.5,2.3,0.238,1550,4x4 Hill Freight Carrier,439.6,497.8,58.3,0.17,Standard Mountain Traffic Flow
73.64,20.0,31.4,104.51,1.0,4170,4x4 Hill Freight Carrier,220.9,689.8,468.9,0.857,Torrential Rainfall & Reduced Visibility
69.5,51.7,12.8,18.18,0.443,240,Light Disaster Utility (4WD),80.6,117.7,37.1,0.337,Standard Mountain Traffic Flow
266.45,45.0,22.0,26.33,0.75,1400,4x4 Hill Freight Carrier,355.3,906.5,551.2,0.564,Active Landslide Clearance / Road Blockage
213.75,45.0,22.0,6.25,0.724,1400,Refrigerated Medical Van,285.0,684.2,399.2,0.516,Active Landslide Clearance / Road Blockage
43.99,30.0,16.0,26.29,0.39,2100,4x4 Hill Freight Carrier,88.0,177.0,89.0,0.312,Active Landslide Clearance / Road Blockage
53.73,34.5,16.0,5.32,0.419,2100,Light Disaster Utility (4WD),93.4,127.2,33.8,0.302,Standard Mountain Traffic Flow
77.63,45.0,12.8,51.87,0.491,240,Refrigerated Medical Van,103.5,176.5,73.0,0.422,Standard Mountain Traffic Flow
464.93,51.7,8.5,60.31,0.613,350,Light Disaster Utility (4WD),539.1,1058.8,519.8,0.519,Torrential Rainfall & Reduced Visibility
266.13,45.0,8.5,0.8,0.342,350,Refrigerated Medical Van,354.8,438.6,83.8,0.241,Standard Mountain Traffic Flow
265.41,33.8,4.2,4.89,0.116,95,Heavy Supply Truck (16T),471.8,499.0,27.2,0.089,Standard Mountain Traffic Flow
75.39,20.0,31.4,14.38,0.772,4170,4x4 Hill Freight Carrier,226.2,595.3,369.2,0.562,Active Landslide Clearance / Road Blockage
61.47,15.0,31.4,1.74,0.789,4170,Heavy Supply Truck (16T),245.9,718.3,472.5,0.555,Active Landslide Clearance / Road Blockage
134.17,20.0,14.5,245.17,1.0,1550,Refrigerated Medical Van,402.5,1539.9,1137.4,0.98,Torrential Rainfall & Reduced Visibility
104.39,34.5,24.2,86.89,0.97,3200,Light Disaster Utility (4WD),181.5,535.3,353.8,0.809,Torrential Rainfall & Reduced Visibility
446.32,33.8,8.5,8.52,0.261,350,Heavy Supply Truck (16T),793.5,940.2,146.7,0.195,Standard Mountain Traffic Flow
143.85,20.0,14.5,27.96,0.285,1550,4x4 Hill Freight Carrier,431.5,563.8,132.3,0.241,Standard Mountain Traffic Flow
59.52,15.0,31.4,33.41,0.777,4170,Heavy Supply Truck (16T),238.1,519.7,281.6,0.594,Steep Mountain Grade & Hairpin Bends
156.55,45.0,4.2,33.4,0.317,95,4x4 Hill Freight Carrier,208.7,285.9,77.2,0.272,Standard Mountain Traffic Flow
90.81,34.5,24.2,44.39,0.857,3200,Light Disaster Utility (4WD),157.9,536.8,378.9,0.666,Active Landslide Clearance / Road Blockage
184.86,45.0,6.0,62.78,0.475,320,Refrigerated Medical Van,246.5,426.9,180.4,0.426,Torrential Rainfall & Reduced Visibility
167.78,33.8,6.0,4.32,0.312,320,Heavy Supply Truck (16T),298.3,363.3,65.0,0.225,Standard Mountain Traffic Flow
512.5,45.0,21.0,4.4,0.661,1650,Refrigerated Medical Van,683.3,1265.8,582.5,0.47,Active Landslide Clearance / Road Blockage
162.04,51.7,6.0,26.74,0.268,320,Light Disaster Utility (4WD),187.9,241.0,53.2,0.228,Standard Mountain Traffic Flow
111.77,34.5,24.2,12.84,0.569,3200,Light Disaster Utility (4WD),194.4,319.7,125.3,0.418,Steep Mountain Grade & Hairpin Bends
371.13,45.0,8.5,45.93,0.545,350,4x4 Hill Freight Carrier,494.8,927.9,433.1,0.45,Active Landslide Clearance / Road Blockage
227.02,51.7,6.0,4.77,0.17,320,Light Disaster Utility (4WD),263.2,286.9,23.6,0.126,Standard Mountain Traffic Flow
224.53,45.0,6.0,20.33,0.287,320,4x4 Hill Freight Carrier,299.4,380.5,81.1,0.232,Standard Mountain Traffic Flow
512.68,45.0,18.0,20.35,0.518,1500,Refrigerated Medical Van,683.6,1088.1,404.5,0.393,Standard Mountain Traffic Flow
183.36,45.0,4.2,30.1,0.234,95,Refrigerated Medical Van,244.5,310.0,65.5,0.209,Standard Mountain Traffic Flow
55.19,20.0,31.4,4.11,0.733,4170,4x4 Hill Freight Carrier,165.6,395.0,229.4,0.519,Active Landslide Clearance / Road Blockage
309.53,45.0,18.0,30.72,0.617,1500,Refrigerated Medical Van,412.7,753.1,340.4,0.478,Standard Mountain Traffic Flow
306.97,45.0,22.0,19.27,0.674,1400,4x4 Hill Freight Carrier,409.3,945.9,536.6,0.501,Active Landslide Clearance / Road Blockage
497.14,45.0,21.0,6.41,0.585,1650,4x4 Hill Freight Carrier,662.8,1087.9,425.1,0.419,Steep Mountain Grade & Hairpin Bends
53.45,20.0,31.4,3.86,0.707,4170,Refrigerated Medical Van,160.3,435.9,275.6,0.501,Active Landslide Clearance / Road Blockage
39.67,30.0,16.0,13.59,0.533,2100,Refrigerated Medical Van,79.3,142.3,63.0,0.393,Standard Mountain Traffic Flow
57.1,30.0,16.0,29.66,0.5,2100,4x4 Hill Freight Carrier,114.2,202.4,88.2,0.395,Standard Mountain Traffic Flow
59.28,34.5,16.0,76.1,0.679,2100,Light Disaster Utility (4WD),103.1,224.5,121.4,0.589,Torrential Rainfall & Reduced Visibility
73.67,51.7,12.8,41.38,0.504,240,Light Disaster Utility (4WD),85.4,143.0,57.6,0.415,Standard Mountain Traffic Flow
144.02,45.0,6.0,7.05,0.234,320,4x4 Hill Freight Carrier,192.0,221.4,29.3,0.175,Standard Mountain Traffic Flow
665.7,51.7,21.0,13.81,0.54,1650,Light Disaster Utility (4WD),771.8,1232.6,460.8,0.399,Steep Mountain Grade & Hairpin Bends
47.2,30.0,16.0,41.29,0.574,2100,4x4 Hill Freight Carrier,94.4,169.5,75.1,0.464,Standard Mountain Traffic Flow
206.16,33.8,4.2,22.79,0.227,95,Heavy Supply Truck (16T),366.5,448.8,82.3,0.193,Standard Mountain Traffic Flow
85.75,20.0,14.5,17.79,0.171,1550,4x4 Hill Freight Carrier,257.3,297.3,40.0,0.146,Standard Mountain Traffic Flow
94.89,34.5,26.5,14.21,0.647,2450,Light Disaster Utility (4WD),165.0,313.3,148.2,0.474,Steep Mountain Grade & Hairpin Bends
43.07,22.5,16.0,7.13,0.37,2100,Heavy Supply Truck (16T),114.9,149.6,34.8,0.27,Standard Mountain Traffic Flow
306.02,45.0,22.0,27.01,0.741,1400,Refrigerated Medical Van,408.0,843.3,435.3,0.559,Steep Mountain Grade & Hairpin Bends
274.2,51.7,22.0,46.7,0.793,1400,Light Disaster Utility (4WD),317.9,727.3,409.4,0.625,Steep Mountain Grade & Hairpin Bends
376.31,51.7,8.5,26.52,0.386,350,Light Disaster Utility (4WD),436.3,619.9,183.6,0.31,Standard Mountain Traffic Flow
713.78,51.7,21.0,16.95,0.648,1650,Light Disaster Utility (4WD),827.6,1504.8,677.2,0.479,Steep Mountain Grade & Hairpin Bends
44.27,30.0,16.0,31.15,0.471,2100,Refrigerated Medical Van,88.5,138.9,50.4,0.377,Standard Mountain Traffic Flow
383.85,51.7,8.5,13.21,0.334,350,Light Disaster Utility (4WD),445.0,573.5,128.4,0.254,Standard Mountain Traffic Flow
149.74,45.0,6.0,3.22,0.239,320,4x4 Hill Freight Carrier,199.7,227.2,27.6,0.172,Standard Mountain Traffic Flow
56.23,23.0,31.4,8.47,0.735,4170,Light Disaster Utility (4WD),146.7,388.3,241.6,0.527,Active Landslide Clearance / Road Blockage
57.12,20.0,31.4,68.12,0.972,4170,4x4 Hill Freight Carrier,171.4,550.8,379.5,0.782,Active Landslide Clearance / Road Blockage
91.04,22.5,24.2,15.85,0.703,3200,Heavy Supply Truck (16T),242.8,681.7,438.9,0.516,Active Landslide Clearance / Road Blockage
57.62,34.5,16.0,8.95,0.412,2100,Light Disaster Utility (4WD),100.2,137.1,36.9,0.302,Standard Mountain Traffic Flow
496.6,45.0,21.0,33.14,0.738,1650,4x4 Hill Freight Carrier,662.1,1540.7,878.6,0.566,Active Landslide Clearance / Road Blockage
97.61,20.0,14.5,44.02,0.394,1550,Refrigerated Medical Van,292.8,444.8,151.9,0.342,Standard Mountain Traffic Flow
91.23,15.0,14.5,11.73,0.241,1550,Heavy Supply Truck (16T),364.9,431.4,66.5,0.186,Standard Mountain Traffic Flow
40.73,34.5,16.0,3.66,0.258,2100,Light Disaster Utility (4WD),70.8,82.0,11.2,0.186,Standard Mountain Traffic Flow
120.29,15.0,14.5,10.22,0.164,1550,Heavy Supply Truck (16T),481.2,535.4,54.3,0.13,Standard Mountain Traffic Flow
392.2,51.7,18.0,22.82,0.625,1500,Light Disaster Utility (4WD),454.7,818.5,363.8,0.471,Standard Mountain Traffic Flow
65.23,30.0,24.2,12.31,0.639,3200,Refrigerated Medical Van,130.5,231.7,101.3,0.466,Steep Mountain Grade & Hairpin Bends
125.15,20.0,14.5,42.84,0.389,1550,4x4 Hill Freight Carrier,375.5,565.9,190.4,0.337,Standard Mountain Traffic Flow
75.45,23.0,31.4,19.14,0.708,4170,Light Disaster Utility (4WD),196.8,611.1,414.3,0.524,Active Landslide Clearance / Road Blockage
