road_id,length_km,slope_deg,elevation_m,rainfall_24h_mm,rainfall_7d_accum_mm,temp_c,soil_saturation,river_proximity_km,hist_disruptions,satellite_water_proxy,landslide_risk,flood_risk,overall_risk,is_disrupted
RD-TEZ-ITA-11,155.0,8.009017646490115,264.9374047576444,2.76,7.79,7.8,0.076,1.6,3,0.108,0.3831,0.6047,0.5708,0
RD-DRG-SELA-05,62.0,31.078908920136325,4118.237883879031,72.38,211.51,12.4,0.755,2.39,9,0.407,0.932,0.6743,0.9584,1
RD-GHY-GTK-12,540.0,24.613905217727478,1644.3835975154584,2.99,13.98,31.6,0.347,0.26,9,0.279,0.8496,0.8277,0.8876,1
RD-DRG-SELA-05,62.0,36.33490314050385,4157.548198022181,23.19,93.83,15.1,0.363,2.62,8,0.172,0.9354,0.404,0.9238,1
RD-GHY-SHL-07,98.0,11.633378678198723,1540.6547438719795,26.62,82.69,12.1,0.326,2.99,3,0.182,0.5751,0.4159,0.5427,0
RD-GHY-SHL-07,98.0,14.476082076050147,1623.9972069445014,77.42,308.45,24.4,1.0,3.02,4,0.418,0.8433,0.6631,0.8187,1
RD-BHK-BMD-03,96.0,24.494794095090196,2380.0716213090427,15.79,64.97,21.1,0.267,0.51,6,0.271,0.824,0.6751,0.8418,1
RD-TEZ-BHK-02,54.0,12.945564883834482,198.4524941794481,6.13,18.19,12.6,0.361,0.25,3,0.294,0.6246,0.9234,0.9064,1
RD-TEZ-BHK-02,54.0,12.545273502512504,266.4158304815188,228.27,717.84,9.1,1.0,0.24,5,1.0,0.9633,1.0,1.0,1
RD-BHK-BMD-03,96.0,25.124142169171,2434.6641800339094,13.69,48.78,19.2,0.463,0.1,7,0.4,0.895,1.0,1.0,1
RD-GHY-SHL-07,98.0,9.666983170134337,1600.314640460722,1.86,6.22,8.0,0.071,2.88,2,0.068,0.4545,0.3363,0.4272,0
RD-GHY-SHL-07,98.0,16.23121638154162,1539.8477306978505,31.69,116.59,16.4,0.439,3.07,3,0.204,0.6618,0.4521,0.6254,0
RD-SHL-SIL-08,215.0,21.53296829382376,1370.2741973637876,29.9,137.7,8.2,0.509,0.62,6,0.319,0.8908,0.796,0.9286,1
RD-GHY-ITA-09,320.0,7.689390043967386,397.38084688307043,38.3,145.82,14.8,0.536,1.05,3,0.308,0.713,0.7851,0.7793,1
RD-GHY-TEZ-01,178.0,1.6693651132635878,136.47027905917446,24.45,75.32,31.0,0.551,0.36,2,0.347,0.476,0.9452,0.8829,1
RD-TEZ-BHK-02,54.0,14.698345598318856,353.5346428902198,14.27,40.65,27.8,0.436,0.24,3,0.338,0.6889,0.8778,0.8719,1
RD-GHY-ITA-09,320.0,6.048995682217318,373.9489912873196,47.68,123.2,21.1,0.461,1.17,3,0.343,0.6611,0.7519,0.7417,1
RD-TEZ-ITA-11,155.0,8.891550956146085,368.67787237600623,55.86,160.59,10.9,0.585,1.78,2,0.349,0.7158,0.7357,0.7263,1
RD-DRG-SELA-05,62.0,29.86125687508575,4202.718282817703,83.68,331.25,16.0,1.0,2.49,7,0.457,0.9787,0.7842,1.0,1
RD-SHL-SIL-08,215.0,27.346490855608238,1429.5137309530894,95.26,445.85,32.0,1.0,0.54,6,0.636,0.9844,1.0,1.0,1
RD-GHY-GTK-12,540.0,25.036260138464932,1645.4886167971895,19.32,83.85,32.0,0.58,0.46,7,0.299,0.8992,0.8398,0.9376,1
RD-DRG-SELA-05,62.0,34.61298940161576,4140.85996992935,31.31,109.52,5.6,0.415,2.67,9,0.209,0.8668,0.4361,0.8655,1
RD-BHK-BMD-03,96.0,31.507064575868178,2449.667327268438,8.9,32.33,8.2,0.408,0.14,8,0.356,0.9482,0.9541,1.0,1
RD-TEZ-BHK-02,54.0,10.402668287524206,231.7732170975152,0.46,1.92,9.3,0.306,0.2,4,0.288,0.5954,0.9002,0.8806,1
RD-DRG-SELA-05,62.0,33.42284140624032,4168.3623364892,79.92,240.77,9.7,0.853,2.39,8,0.442,0.9661,0.7373,1.0,1
RD-GHY-ITA-09,320.0,4.9674149041751905,360.1850899069425,26.01,93.69,16.0,0.362,1.16,4,0.242,0.5834,0.6702,0.6564,1
RD-BHK-BMD-03,96.0,31.756811330270867,2445.5389412203167,0.9,2.6,25.5,0.309,0.41,6,0.225,0.8773,0.655,0.8899,1
RD-BHK-BMD-03,96.0,28.001432558261897,2397.33706396775,0.7,1.92,28.0,0.306,0.33,6,0.244,0.8292,0.7635,0.8578,1
RD-GHY-ITA-09,320.0,9.83278993445812,317.1383340941253,62.06,216.79,24.0,0.773,0.91,3,0.431,0.7429,0.9176,0.9102,1
RD-GHY-NAG-10,345.0,15.886968928371722,1429.5769351818221,78.12,354.92,14.3,1.0,0.59,7,0.548,0.9632,0.8248,0.9899,1
RD-GHY-TEZ-01,178.0,9.289369104870115,93.11826487875759,186.02,820.18,8.2,1.0,1.02,3,1.0,0.9477,0.9406,0.9512,1
RD-SELA-TWG-06,78.0,20.334657860728026,3205.0408711127025,35.13,110.47,8.2,0.418,1.47,8,0.265,0.8918,0.5497,0.8936,1
RD-DRG-SELA-05,62.0,34.34807295183654,4077.9562884334177,171.92,505.17,31.4,1.0,2.24,8,0.875,1.0,0.9152,1.0,1
RD-BMD-DRG-04,42.0,11.427954274818909,2060.0780476291475,3.02,12.12,11.4,0.09,1.47,4,0.116,0.5412,0.37,0.5281,0
RD-TEZ-BHK-02,54.0,20.69714619451217,211.2181086881113,210.56,912.02,10.4,1.0,0.22,4,1.0,1.0,0.9776,1.0,1
RD-SHL-SIL-08,215.0,27.925082060892343,1397.6367673685495,3.95,10.6,25.8,0.335,0.19,9,0.309,0.8643,0.8667,0.914,1
RD-GHY-ITA-09,320.0,11.932405607849255,346.2783285449977,3.36,16.11,8.1,0.104,1.22,2,0.132,0.5188,0.6004,0.5851,0
RD-BHK-BMD-03,96.0,29.00176646364671,2472.959003961422,46.12,208.28,23.8,0.994,0.39,6,0.441,0.8992,0.8795,0.9409,1
RD-GHY-ITA-09,320.0,8.901542962737999,406.45347187675713,144.9,469.96,31.7,1.0,1.08,3,0.802,0.8867,0.9772,0.9886,1
RD-GHY-ITA-09,320.0,12.267268376720562,305.2696348890248,4.5,12.11,24.9,0.09,1.06,4,0.149,0.5146,0.6694,0.6487,0
RD-GHY-SHL-07,98.0,15.34909661618565,1554.1141994637712,33.49,103.22,4.7,0.394,3.21,5,0.21,0.6844,0.4973,0.6508,1
RD-GHY-ITA-09,320.0,3.4545390246003125,262.0700500002926,22.88,93.09,30.2,0.36,0.93,2,0.247,0.5533,0.7189,0.6988,1
RD-GHY-GTK-12,540.0,18.244044160547404,1648.265755630661,100.33,261.39,4.5,1.0,0.35,8,0.704,0.9977,0.9617,1.0,1
RD-DRG-SELA-05,62.0,34.901308743150906,4251.055427889386,101.34,371.78,22.4,1.0,2.19,7,0.547,0.9844,0.764,1.0,1
RD-TEZ-ITA-11,155.0,4.333568642519236,301.33003658117156,52.93,178.65,5.7,0.646,1.27,3,0.36,0.6518,0.8297,0.8084,1
RD-SHL-SIL-08,215.0,19.479669764249984,1408.234891371857,8.87,34.07,21.8,0.414,0.43,6,0.257,0.8416,0.8159,0.8834,1
RD-SHL-SIL-08,215.0,23.003370369961075,1331.0340385992736,163.37,443.97,16.3,1.0,0.35,8,0.997,1.0,0.96,1.0,1
RD-BMD-DRG-04,42.0,19.616884233858514,2117.1567525508435,164.92,616.44,18.4,1.0,1.46,5,0.871,0.9394,0.9534,0.9828,1
RD-GHY-TEZ-01,178.0,5.116662961131776,136.0241090598682,37.6,173.95,30.0,0.63,0.9,2,0.318,0.5455,0.8762,0.8285,1
RD-BMD-DRG-04,42.0,15.498645759049436,2107.335684321666,74.46,348.46,4.9,1.0,1.44,4,0.451,0.8787,0.7525,0.8841,1
RD-GHY-TEZ-01,178.0,5.401236087715311,96.23210492142921,85.55,275.28,22.5,0.968,0.82,0,0.551,0.762,1.0,0.9763,1
RD-TEZ-ITA-11,155.0,5.714113402839144,333.95107628851696,125.81,553.88,20.2,1.0,1.62,1,0.681,0.872,0.9436,0.9474,1
RD-TEZ-BHK-02,54.0,14.025537045132278,246.64848370734381,2.46,8.0,25.2,0.327,0.06,4,0.369,0.618,0.9937,0.9718,1
RD-SELA-TWG-06,78.0,28.89657208770302,3196.7124869463505,112.65,287.85,13.7,1.0,1.69,6,0.617,1.0,0.8036,1.0,1
RD-BMD-DRG-04,42.0,15.466779035537781,2112.19003568856,55.43,234.72,10.6,0.832,1.09,5,0.385,0.8896,0.6974,0.8872,1
RD-SHL-SIL-08,215.0,21.863241950933507,1412.1669724661347,155.67,543.92,12.2,1.0,0.45,6,0.937,0.9936,0.9893,1.0,1
RD-BHK-BMD-03,96.0,25.811792191808944,2467.136267318885,16.09,74.99,18.2,0.55,0.49,10,0.277,0.9447,0.7201,0.963,1
RD-GHY-NAG-10,345.0,15.97082309382219,1590.0470216455408,22.99,64.22,7.8,0.264,0.89,6,0.251,0.7508,0.5866,0.7562,1
RD-BMD-DRG-04,42.0,17.69410318760847,2077.3846840375463,55.91,183.14,17.7,0.66,0.72,5,0.425,0.8844,0.7837,0.8937,1
RD-GHY-SHL-07,98.0,14.489192382728294,1492.0817655403728,117.73,435.73,7.1,1.0,3.3,3,0.602,0.937,0.8264,0.9306,1
RD-TEZ-BHK-02,54.0,6.674795394727129,231.04940164412574,3.22,10.87,5.0,0.336,0.05,3,0.376,0.6065,1.0,0.976,1
RD-SELA-TWG-06,78.0,25.02653168704476,3160.072734219691,56.43,169.32,9.0,0.614,2.16,9,0.338,0.9459,0.6031,0.9515,1
RD-SHL-SIL-08,215.0,24.850436412996494,1486.7981901582625,59.5,216.02,23.3,0.77,0.54,6,0.47,0.9086,0.8831,0.9576,1
RD-GHY-TEZ-01,178.0,9.382629510302134,116.81618348370161,54.57,226.3,18.9,0.804,0.81,0,0.408,0.6637,0.8941,0.861,1
RD-TEZ-ITA-11,155.0,6.63478491114118,366.6439542164311,92.01,336.45,30.0,1.0,1.67,2,0.521,0.7792,0.9367,0.9277,1
RD-GHY-SHL-07,98.0,13.98211810017754,1594.1829968743336,45.22,168.06,30.2,0.61,3.13,3,0.266,0.6851,0.5607,0.6579,1
RD-TEZ-BHK-02,54.0,16.940274062442356,212.484742307729,122.02,523.42,31.3,1.0,0.07,4,0.923,0.9437,1.0,1.0,1
RD-BMD-DRG-04,42.0,9.296720673057392,2111.759991442735,9.94,46.49,17.4,0.205,0.97,6,0.183,0.6416,0.4652,0.6281,0
RD-BHK-BMD-03,96.0,29.982480362135558,2372.205067475505,51.97,146.93,33.1,0.79,0.35,6,0.479,0.9466,0.8459,0.9827,1
RD-DRG-SELA-05,62.0,33.346772631520984,4100.400183140599,14.38,65.77,16.9,0.269,2.33,7,0.138,0.9097,0.3664,0.8953,1
RD-TEZ-BHK-02,54.0,19.030243950682525,224.8345769032026,65.06,293.71,21.6,1.0,0.28,3,0.561,0.8915,0.9655,0.9848,1
RD-GHY-ITA-09,320.0,10.697920231646737,345.9641709945709,198.91,516.83,7.7,1.0,1.12,2,1.0,0.9024,0.9923,1.0,1
RD-TEZ-ITA-11,155.0,7.357604675464004,424.4187352390364,70.85,257.68,19.5,0.909,1.47,1,0.432,0.7324,0.8371,0.8255,1
RD-GHY-TEZ-01,178.0,2.328693117912585,190.7015676933393,39.17,192.9,6.8,0.693,0.76,4,0.341,0.6018,0.9001,0.8584,1
RD-BMD-DRG-04,42.0,16.922862266353157,2046.1669745911167,93.24,450.08,24.7,1.0,1.33,5,0.544,0.9076,0.8226,0.9215,1
RD-SHL-SIL-08,215.0,21.80758496022102,1416.438120515174,37.54,187.63,5.4,0.675,0.56,9,0.363,0.9354,0.8802,0.9836,1
RD-GHY-SHL-07,98.0,10.817176554589022,1614.4878264187687,57.73,254.35,27.9,0.898,2.95,2,0.327,0.7726,0.5843,0.7424,1
RD-BHK-BMD-03,96.0,23.844509503000456,2527.628090774482,13.74,46.92,15.9,0.456,0.09,7,0.403,0.8557,0.9614,0.9985,1
RD-GHY-SHL-07,98.0,12.399652380384975,1599.0882743495797,38.61,156.34,17.9,0.571,2.94,3,0.238,0.6533,0.4388,0.6163,0
RD-SHL-SIL-08,215.0,24.039919226550268,1428.7734333747214,30.38,116.47,22.2,0.688,0.45,7,0.352,0.9239,0.8534,0.9686,1
RD-GHY-GTK-12,540.0,22.65921982932144,1600.570444642454,3.74,13.9,11.7,0.346,0.08,9,0.363,0.9035,0.9918,1.0,1
RD-GHY-ITA-09,320.0,10.150156297073655,301.58277725681825,11.14,39.37,7.7,0.181,1.12,3,0.175,0.4919,0.6186,0.5994,0
RD-SHL-SIL-08,215.0,23.321424213881198,1406.2612251323953,233.35,1053.55,20.5,1.0,0.41,10,1.0,1.0,0.9587,1.0,1
RD-DRG-SELA-05,62.0,33.641495672778746,4134.958416056696,179.31,851.74,14.6,1.0,2.66,8,0.9,0.9766,0.9489,1.0,1
RD-GHY-TEZ-01,178.0,1.8539470892771779,126.68884404660493,21.04,83.44,9.0,0.328,0.88,0,0.243,0.4086,0.8706,0.8054,1
RD-GHY-ITA-09,320.0,9.443150482164542,349.89581012899083,115.53,401.71,21.8,1.0,1.18,3,0.658,0.8792,0.9652,0.9757,1
RD-SELA-TWG-06,78.0,27.512147409450062,3118.847705326713,241.29,666.02,25.7,1.0,1.91,6,1.0,0.9773,0.9548,1.0,1
RD-GHY-NAG-10,345.0,15.722878658374055,1501.672938549615,9.0,30.47,6.1,0.152,0.78,9,0.199,0.8027,0.5612,0.8019,1
RD-GHY-ITA-09,320.0,4.799595696159683,336.97507190306385,218.05,905.89,20.7,1.0,1.45,2,1.0,0.9794,0.9928,1.0,1
RD-GHY-ITA-09,320.0,8.1663218159539,304.8046179267605,149.55,448.99,20.1,1.0,0.95,5,0.836,0.977,0.941,0.9963,1
RD-BHK-BMD-03,96.0,25.550774650915596,2565.9664769990845,342.41,1318.25,29.3,1.0,0.48,6,1.0,0.9827,1.0,1.0,1
RD-TEZ-BHK-02,54.0,10.442031618476152,173.4383523221111,61.22,272.73,25.3,1.0,0.05,4,0.649,0.876,1.0,1.0,1
RD-BMD-DRG-04,42.0,23.47899855229837,2080.757905902644,88.14,329.84,33.8,1.0,1.29,5,0.523,0.929,0.8357,0.9441,1
RD-GHY-NAG-10,345.0,16.47863081983023,1488.1822631455502,237.79,1073.58,27.7,1.0,0.66,7,1.0,0.9817,0.9959,1.0,1
RD-GHY-NAG-10,345.0,18.51149170512129,1623.2438817928842,136.41,634.98,31.7,1.0,0.84,7,0.786,0.8995,0.9497,0.9874,1
RD-TEZ-BHK-02,54.0,12.969949774691322,266.48463771783656,5.54,18.94,6.0,0.363,0.19,4,0.317,0.6572,0.9051,0.8935,1
RD-GHY-NAG-10,345.0,17.567737332835154,1451.6741487032505,35.84,108.95,22.6,0.413,0.98,6,0.302,0.8416,0.7198,0.8583,1
RD-SELA-TWG-06,78.0,22.50905291772097,3179.453442185041,2.1,10.46,5.7,0.085,1.73,6,0.1,0.7358,0.3453,0.7256,1
RD-BMD-DRG-04,42.0,16.511248667126463,2023.2850686807772,24.93,124.42,28.4,0.465,1.38,6,0.223,0.7395,0.5103,0.7231,1
RD-SELA-TWG-06,78.0,22.47046879781984,3070.4478853927544,125.74,574.5,26.0,1.0,1.69,7,0.678,0.9869,0.8724,1.0,1
RD-GHY-SHL-07,98.0,16.237874498803265,1548.6347730245034,129.82,472.03,29.3,1.0,2.81,2,0.666,0.9568,0.834,0.951,1
RD-TEZ-ITA-11,155.0,10.413510982480826,309.5338161424067,22.62,77.81,15.8,0.309,1.37,2,0.213,0.5679,0.7053,0.6816,1
RD-SELA-TWG-06,78.0,22.73626577556289,3270.528400250258,1.37,6.52,17.8,0.072,2.04,9,0.085,0.7581,0.3369,0.7447,1
RD-TEZ-BHK-02,54.0,13.51088424713613,217.25898420557735,168.27,706.83,5.3,1.0,0.05,3,1.0,0.9999,1.0,1.0,1
RD-GHY-NAG-10,345.0,16.029317163085814,1514.1271763053396,37.9,112.3,9.2,0.424,0.76,7,0.336,0.8728,0.7697,0.8947,1
RD-TEZ-BHK-02,54.0,14.72506231146395,301.23135436131656,101.52,284.62,22.5,1.0,0.08,5,0.817,0.9298,0.9979,1.0,1
RD-BMD-DRG-04,42.0,16.80577683658977,2057.3131732657544,30.56,133.57,28.4,0.495,1.27,6,0.256,0.7678,0.4997,0.7482,1
RD-BHK-BMD-03,96.0,25.04856660537671,2433.4271851137682,20.26,81.68,32.3,0.572,0.44,7,0.307,0.8859,0.756,0.9115,1
RD-TEZ-BHK-02,54.0,13.597695439441546,227.56544369082263,65.6,314.68,11.6,1.0,0.52,7,0.502,0.9121,0.9297,0.9524,1
RD-SELA-TWG-06,78.0,25.399063855257925,3167.4321553104087,96.98,252.91,8.9,0.893,1.69,9,0.544,0.9874,0.8002,1.0,1
RD-SHL-SIL-08,215.0,29.805049342541185,1416.4326080186604,12.36,48.36,24.7,0.211,0.68,7,0.227,0.8581,0.7282,0.8881,1
RD-GHY-GTK-12,540.0,20.372930228141925,1607.473977289535,9.91,42.79,33.8,0.443,0.18,9,0.339,0.8857,0.9056,0.9501,1
RD-TEZ-ITA-11,155.0,2.6693298404712005,280.755084345888,53.6,208.28,4.2,0.744,1.63,3,0.344,0.664,0.7699,0.7531,1
RD-TEZ-ITA-11,155.0,11.180891553700215,300.0181907192699,73.25,365.56,15.0,1.0,1.54,2,0.44,0.8456,0.8056,0.843,1
RD-DRG-SELA-05,62.0,35.187752310281546,4280.712576173114,55.33,151.19,21.6,0.554,2.44,7,0.326,0.9989,0.6357,1.0,1
RD-TEZ-BHK-02,54.0,10.925631359197844,281.3925047981209,28.79,115.4,24.3,0.685,0.2,3,0.421,0.7791,0.947,0.9506,1
RD-BHK-BMD-03,96.0,25.140315852018176,2311.3218568543275,53.78,229.61,27.7,0.815,0.56,6,0.44,0.9149,0.7599,0.94,1
RD-TEZ-BHK-02,54.0,13.369543508637394,268.8379033096536,3.25,9.91,21.9,0.083,0.57,4,0.202,0.5406,0.79,0.7705,1
RD-BHK-BMD-03,96.0,25.58732835648456,2425.5575289106864,16.95,66.6,21.6,0.522,0.18,7,0.375,0.888,0.852,0.9263,1
RD-GHY-NAG-10,345.0,19.54080031970915,1473.3649580169044,185.3,583.37,16.9,1.0,0.67,6,1.0,0.8998,0.99,1.0,1
RD-SELA-TWG-06,78.0,23.06463784446062,3217.7389241085098,136.44,589.92,27.0,1.0,1.58,6,0.733,1.0,0.9352,1.0,1
RD-TEZ-ITA-11,155.0,3.070874186149885,275.37720803215484,109.82,293.47,5.7,1.0,1.57,1,0.609,0.8207,0.953,0.9494,1
RD-GHY-ITA-09,320.0,6.090463147958966,323.69609838940204,20.91,92.87,6.0,0.36,1.1,2,0.223,0.4759,0.7303,0.7009,1
RD-GHY-TEZ-01,178.0,4.400972151674616,120.79696088520497,182.91,467.27,23.9,1.0,0.49,2,1.0,0.9025,0.9623,0.9602,1
RD-GHY-SHL-07,98.0,16.20116655216431,1469.2434092047245,29.16,106.72,33.2,0.406,3.23,2,0.19,0.6358,0.4167,0.5982,0
RD-GHY-TEZ-01,178.0,3.313376279560353,102.61577567883121,172.19,672.06,19.7,1.0,0.88,0,0.949,0.9446,0.9583,0.9623,1
RD-BHK-BMD-03,96.0,17.735948549516177,2427.580989047306,6.34,30.86,29.5,0.153,0.8,7,0.183,0.7511,0.5449,0.7578,1
RD-DRG-SELA-05,62.0,29.514545408311857,4200.123860471974,181.91,663.64,5.6,1.0,2.36,8,0.919,0.9772,0.9035,1.0,1
RD-SHL-SIL-08,215.0,22.284981254068914,1385.4094365542228,73.58,345.76,30.1,1.0,0.19,8,0.634,0.959,0.9572,1.0,1
RD-GHY-SHL-07,98.0,15.39625872509706,1512.4104474952408,83.98,323.04,18.9,1.0,2.91,4,0.45,0.9164,0.6506,0.8864,1
RD-TEZ-BHK-02,54.0,13.401955411867062,278.2695107085217,184.41,753.6,27.9,1.0,0.16,4,1.0,0.9995,1.0,1.0,1
RD-GHY-GTK-12,540.0,19.995674003680378,1629.8175768379,13.33,61.9,31.2,0.506,0.11,8,0.391,0.8827,0.9629,1.0,1
RD-GHY-ITA-09,320.0,12.736661666246288,296.880323592656,229.66,1139.17,24.0,1.0,1.19,4,1.0,0.9802,0.9858,1.0,1
RD-SELA-TWG-06,78.0,24.783152904732006,3182.3416853594654,26.23,112.76,30.7,0.426,1.87,9,0.207,0.8813,0.5046,0.8778,1
